Ship,Class,Type,First commissioned,Fate,Country or organization,Displacement (tons)
U-108,Type IXB,u-boat,22 October 1940,Sunk on 11 April 1944 at Stettin during a bombing raid. Later raised and scuttled there on 24 April 1945.,Kriegsmarine,"1,051"
U-109,Type IXB,u-boat,05 December 1940,Sunk on 4 May 1943 south of Ireland by depth charges from British aircraft. All hands lost.,Kriegsmarine,"1,051"
U-110,Type IXB,u-boat,21 November 1940,"Captured on 9 May 1941 in the North Atlantic south of Iceland by the destroyers HMS Bulldog, Broadway and the British corvette HMS Aubrietia. The Royal Navy allowed the U-boat to sink the next day in order to keep the documents captured from her a secret.",Kriegsmarine,"1,051"
U-111,Type IXB,u-boat,19 December 1940,Sunk on 4 October 1941 south-west of Tenerife by depth charges from a British warship. 8 dead and 44 survivors.,Kriegsmarine,"1,051"
U-122,Type IXB,u-boat,30 March 1940,Went missing on 22 June 1940. All hands presumed lost.,Kriegsmarine,"1,051"
U-1221,Type IXC/40,u-boat,11 August 1943,"sunk in Kiel harbour, 3 April 1945",Kriegsmarine,"1,144 "
U-1222,Type IXC/40,u-boat,01 September 1943,sunk 11 July 1944 by British aircraft west of La Rochelle ,Kriegsmarine,"1,144 "
U-1223,Type IXC/40,u-boat,06 October 1943,scuttled 5 May 1945,Kriegsmarine,"1,144 "
U-1224,Type IXC/40,u-boat,20 October 1943,Transferred to Japanese service,Kriegsmarine,"1,144 "
U-1225,Type IXC/40,u-boat,10 November 1943,Sunk 24 June 1944,Kriegsmarine,"1,144 "
U-1226,Type IXC/40,u-boat,24 November 1943,Missing since 23 October 1944,Kriegsmarine,"1,144 "
U-1227,Type IXC/40,u-boat,08 December 1943,"Scuttled, 3 May 1945. Later raised and broken up.",Kriegsmarine,"1,144 "
U-1228,Type IXC/40,u-boat,22 December 1943,sunk 5 February 1946 by US warships,Kriegsmarine,"1,144 "
U-1229,Type IXC/40,u-boat,13 January 1944,"sunk 20 August 1944 by Allied aircraft, 18 dead, 41 survivors",Kriegsmarine,"1,144 "
U-123,Type IXB,u-boat,30 May 1940,Scuttled at Lorient on 19 August 1944. Raised and later became the French submarine Blaison.,Kriegsmarine,"1,051"
U-1230,Type IXC/40,u-boat,26 January 1944,"Surrendered, 8 May 1945",Kriegsmarine,"1,144 "
U-1231,Type IXC/40,u-boat,09 February 1944,transferred as war booty to the Soviet Union',Kriegsmarine,"1,144 "
U-1232,Type IXC/40,u-boat,08 March 1944,Sunk on 4 March 1946,Kriegsmarine,"1,144 "
U-1233,Type IXC/40,u-boat,22 March 1944,sunk 29 December 1945,Kriegsmarine,"1,144 "
U-1234,Type IXC/40,u-boat,19 April 1944,"Scuttled, 2 May 1945",Kriegsmarine,"1,144 "
U-1235,Type IXC/40,u-boat,17 May 1944,"Sunk, 15 April 1945",Kriegsmarine,"1,144 "
U-124,Type IXB,u-boat,11 June 1940,Sunk 2 April 1943 west of Oporto by depth charges from the British warships HMS Stonecrop and Black Swan. All hands lost.,Kriegsmarine,"1,051"
U-125,Type IXC,u-boat,03 March 1941,"Sunk, 6 May 1943",Kriegsmarine,"1,120"
U-126,Type IXC,u-boat,22 March 1941,"Sunk by a British aircraft, 3 June 1943",Kriegsmarine,"1,120"
U-127,Type IXC,u-boat,24 April 1941,"Sunk, 15 December 1941 by an Australian warship",Kriegsmarine,"1,120"
U-128,Type IXC,u-boat,12 May 1941,"Sunk, 17 May 1943",Kriegsmarine,"1,120"
U-129,Type IXC,u-boat,21 May 1941,"Taken out of service at Lorient 4 July 1944; scuttled on 18 August, raised and broken up, 1946",Kriegsmarine,"1,120"
U-130,Type IXC,u-boat,11 June 1941,Sunk west of the Azores on 12 March 1943 by USS Champlin,Kriegsmarine,"1,120"
U-131,Type IXC,u-boat,01 July 1941,"Scuttled, 17 December 1941",Kriegsmarine,"1,120"
U-153,Type IXC,u-boat,19 July 1941,Sunk on 13 July 1942,Kriegsmarine,"1,120"
U-154,Type IXC,u-boat,01 August 1941,Sunk on 3 July 1944,Kriegsmarine,"1,120"
U-155,Type IXC,u-boat,23 August 1941,"Surrendered at Fredericia, 8 May 1945,Sunk during Operation Deadlight on 21 December 1945\n",Kriegsmarine,"1,120"
U-156,Type IXC,u-boat,04 September 1941,Sunk on 8 March 1943,Kriegsmarine,"1,120"
U-157,Type IXC,u-boat,15 September 1941,"Sunk, 13 June 1942",Kriegsmarine,"1,120"
U-158,Type IXC,u-boat,25 September 1941,"Sunk 30 June 1942, west of Bermuda, by an US aircraft",Kriegsmarine,"1,120"
U-159,Type IXC,u-boat,04 October 1941,Sunk on 28 July 1943,Kriegsmarine,"1,120"
U-160,Type IXC,u-boat,16 October 1941,Sunk on 14 July 1943,Kriegsmarine,"1,120"
U-161,Type IXC,u-boat,08 July 1941,Sunk on 27 September 1943,Kriegsmarine,"1,120"
U-162,Type IXC,u-boat,09 September 1941,"Sunk on 3 September 1942 in the mid-Atlantic north-east of Trinidad, by depth charges from British warships; two dead and 49 survivors.",Kriegsmarine,"1,120"
U-163,Type IXC,u-boat,21 October 1941,Sunk on 12/13 March 1943 by a Canadian warship,Kriegsmarine,"1,120"
U-164,Type IXC,u-boat,28 November 1941,Sunk on 6 January 1943,Kriegsmarine,"1,120"
U-165,Type IXC,u-boat,03 February 1942,Sunk on 27 September 1942,Kriegsmarine,"1,120"
U-166,Type IXC,u-boat,23 March 1942,"Sunk, 30 July 1942 by the United States Navy patrol craft PC-566",Kriegsmarine,"1,120"
U-167,Type IXC/40,u-boat,04 July 1942,"Scuttled, 6 April 1943",Kriegsmarine,"1,144 "
U-168,Type IXC/40,u-boat,10 September 1941,"Sunk, 6 October 1944, by a Dutch submarine",Kriegsmarine,"1,144 "
U-169,Type IXC/40,u-boat,04 November 1942,"Sunk, 27 March 1943",Kriegsmarine,"1,144 "
U-170,Type IXC/40,u-boat,19 January 1943,"Sunk, 30 November 1945 as part of Operation Deadlight",Kriegsmarine,"1,144 "
U-171,Type IXC,u-boat,25 October 1941,"Sunk by a mine 9 October 1942 in the Bay of Biscay. 22 crew killed, 30 survivors.",Kriegsmarine,"1,120"
U-172,Type IXC,u-boat,05 November 1941,"Sunk, 13 December 1943, by US aircraft and warships",Kriegsmarine,"1,120"
U-173,Type IXC,u-boat,15 November 1941,"Sunk, 16 November 1942",Kriegsmarine,"1,120"
U-174,Type IXC,u-boat,26 November 1941,"Sunk, April 1943",Kriegsmarine,"1,120"
U-175,Type IXC,u-boat,05 December 1941,"Sunk, 17 April 1943",Kriegsmarine,"1,120"
U-176,Type IXC,u-boat,15 December 1941,"Sunk, 15 May 1943",Kriegsmarine,"1,120"
U-177,Type IXD,u-boat,14 March 1942,"Sunk by US aircraft, 6 February 1944",Kriegsmarine,"1,610"
U-178,Type IXD,u-boat,14 February 1942,"Scuttled, 25 August 1944",Kriegsmarine,"1,610"
U-179,Type IXD,u-boat,07 March 1942,"Sunk, 8 October 1942",Kriegsmarine,"1,610"
U-180,Type IXD,u-boat,16 May 1942,"Sunk, 23 August 1944",Kriegsmarine,"1,610"
U-181,Type IXD,u-boat,09 May 1942,"Taken over by Japan, May 1945",Kriegsmarine,"1,610"
U-182,Type IXD,u-boat,30 June 1942,Sunk on 16 May 1943 by a US warship north-west of Madeira,Kriegsmarine,"1,610"
U-183,Type IXC/40,u-boat,01 April 1942,"Sunk, 23 April 1945, by a US submarine",Kriegsmarine,"1,144 "
U-184,Type IXC/40,u-boat,29 May 1942,Missing since 21 November 1942,Kriegsmarine,"1,144 "
U-185,Type IXC/40,u-boat,13 June 1942,"Sunk, by US aircraft on 24 August 1943",Kriegsmarine,"1,144 "
U-186,Type IXC/40,u-boat,10 July 1942,"Sunk by HMS\xa0Hesperus, 12 May 1943",Kriegsmarine,"1,144 "
U-187,Type IXC/40,u-boat,23 July 1942,"Sunk by HMS\xa0Vimy and Beverley, 4 February 1943",Kriegsmarine,"1,144 "
U-188,Type IXC/40,u-boat,05 August 1942,"Scuttled 26 August 1944 in Bordeaux, later raised and broken up in 1947",Kriegsmarine,"1,144 "
U-189,Type IXC/40,u-boat,01 August 1942,"Sunk by a British aircraft, 23 April 1943",Kriegsmarine,"1,144 "
U-190,Type IXC/40,u-boat,24 September 1942,"Surrendered to the Royal Canadian Navy, 11 May 1945",Kriegsmarine,"1,144 "
U-191,Type IXC/40,u-boat,20 October 1942,Sunk on 23 April 1943,Kriegsmarine,"1,144 "
U-192,Type IXC/40,u-boat,16 November 1942,Sunk 6 May 1943 by British warship,Kriegsmarine,"1,144 "
U-193,Type IXC/40,u-boat,10 December 1942,Missing since 23 April 1944,Kriegsmarine,"1,144 "
U-194,Type IXC/40,u-boat,08 January 1943,"Sunk, 24 June 1943",Kriegsmarine,"1,144 "
U-195,Type IXD,u-boat,05 September 1942,"Taken over by Japan, May 1945",Kriegsmarine,"1,610"
U-196,Type IXD,u-boat,11 September 1942,Missing since 12 December 1944,Kriegsmarine,"1,610"
U-197,Type IXD,u-boat,10 October 1942,"Sunk, 20 August 1943",Kriegsmarine,"1,610"
U-198,Type IXD,u-boat,03 November 1942,"Sunk on 12 August 1944 near the Seychelles, by depth charges from British and Indian warships",Kriegsmarine,"1,610"
U-199,Type IXD,u-boat,28 November 1942,"Sunk, 31 July 1943 by the Brazilian aircraft PBY Catalina Arará",Kriegsmarine,"1,610"
U-200,Type IXD,u-boat,22 December 1942,"Sunk, 24 June 1943 by a British aircraft southwest of Iceland",Kriegsmarine,"1,610"
U-25,Type IA,submarine,06 April 1936,sunk 1 August 1940,Kriegsmarine,982
U-2501,Type XXI,u-boat,27 June 1944,"Scuttled, 3 May 1945",Kriegsmarine,"1,621"
U-2502,Type XXI,u-boat,19 July 1944,"Surrendered 9 May 1945 at Horten Naval Base, Norway",Kriegsmarine,"1,621"
U-2503,Type XXI,u-boat,01 August 1944,Scuttled on 4 May 1945,Kriegsmarine,"1,621"
U-2504,Type XXI,u-boat,12 August 1944,Scuttled 3 May 1945,Kriegsmarine,"1,621"
U-2505,Type XXI,u-boat,07 November 1944,Scuttled 2 May 1945,Kriegsmarine,"1,621"
U-2506,Type XXI,u-boat,31 August 1944,"Surrendered 9 May 1945 at Bergen, Norway",Kriegsmarine,"1,621"
U-2507,Type XXI,u-boat,08 September 1944,Scuttled 5 May 1945,Kriegsmarine,"1,621"
U-2508,Type XXI,u-boat,26 September 1944,Scuttled 3 May 1945,Kriegsmarine,"1,621"
U-2509,Type XXI,u-boat,21 September 1944,Sunk on 8 April 1945,Kriegsmarine,"1,621"
U-2510,Type XXI,u-boat,27 September 1944,Scuttled on 2 May 1945,Kriegsmarine,"1,621"
U-2511,Type XXI,u-boat,29 September 1944,"Surrendered, 8 May 1945;Scuttled, 7 January 1946\n",Kriegsmarine,"1,621"
U-2512,Type XXI,u-boat,10 October 1944,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-2513,Type XXI,u-boat,12 October 1944,"Surrendered, 8 May 1945",Kriegsmarine,"1,621"
U-2514,Type XXI,u-boat,17 October 1944,Sunk on 8 April 1945,Kriegsmarine,"1,621"
U-2515,Type XXI,u-boat,19 October 1944,Sunk on 17 January 1945,Kriegsmarine,"1,621"
U-2516,Type XXI,u-boat,,destroyed by RAF bombing on 31 December 1944,Kriegsmarine,"1,621"
U-2517,Type XXI,u-boat,31 October 1944,Scuttled on 5 May 1945,Kriegsmarine,"1,621"
U-2518,Type XXI,u-boat,04 November 1944,"Surrendered, 8 May 1945;Transferred to France, 1946",Kriegsmarine,"1,621"
U-2519,Type XXI,u-boat,15 November 1944,Scuttled 3 May 1945 at Kiel,Kriegsmarine,"1,621"
U-2520,Type XXI,u-boat,25 December 1944,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-2521,Type XXI,u-boat,21 November 1944,Sunk on 3 May 1945,Kriegsmarine,"1,621"
U-2522,Type XXI,u-boat,22 November 1944,Scuttled on 5 May 1945,Kriegsmarine,"1,621"
U-2523,Type XXI,u-boat,26 December 1944,Sunk on 17 January 1945,Kriegsmarine,"1,621"
U-2524,Type XXI,u-boat,16 January 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-2525,Type XXI,u-boat,12 December 1944,Scuttled on 5 May 1945,Kriegsmarine,"1,621"
U-2526,Type XXI,u-boat,15 December 1944,Scuttled on 2 May 1945,Kriegsmarine,"1,621"
U-2527,Type XXI,u-boat,23 December 1944,Scuttled on 2 May 1945,Kriegsmarine,"1,621"
U-2528,Type XXI,u-boat,09 December 1944,Scuttled on 2 May 1945,Kriegsmarine,"1,621"
U-2529,Type XXI,u-boat,22 February 1945,Surrendered on 9 May 1945,Kriegsmarine,"1,621"
U-2530,Type XXI,u-boat,30 December 1944,Sunk on 31 December 1944,Kriegsmarine,"1,621"
U-2531,Type XXI,u-boat,10 January 1945,Scuttled on 2 May 1945,Kriegsmarine,"1,621"
U-2532,Type XXI,u-boat,,destroyed by RAF bombing on 17 January 1945,Kriegsmarine,"1,621"
U-2533,Type XXI,u-boat,18 January 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-2534,Type XXI,u-boat,17 January 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-2535,Type XXI,u-boat,28 January 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-2536,Type XXI,u-boat,06 February 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-2537,Type XXI,u-boat,,destroyed on 8 April 1945,Kriegsmarine,"1,621"
U-2538,Type XXI,u-boat,16 February 1945,Scuttled on 8 May 1945,Kriegsmarine,"1,621"
U-2539,Type XXI,u-boat,21 February 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-2540,Type XXI,u-boat,24 February 1945,"Scuttled, 4 May 1945",Kriegsmarine,"1,621"
U-2541,Type XXI,u-boat,01 March 1945,Scuttled on 5 May 1945,Kriegsmarine,"1,621"
U-2542,Type XXI,u-boat,05 March 1945,Sunk on 3 April 1945,Kriegsmarine,"1,621"
U-2543,Type XXI,u-boat,07 March 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-2544,Type XXI,u-boat,10 March 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-2545,Type XXI,u-boat,08 April 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-2546,Type XXI,u-boat,21 March 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-2548,Type XXI,u-boat,09 April 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-2551,Type XXI,u-boat,24 April 1945,Run aground on 5 May 1945,Kriegsmarine,"1,621"
U-2552,Type XXI,u-boat,21 April 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-3001,Type XXI,u-boat,20 July 1944,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-3002,Type XXI,u-boat,06 August 1944,Scuttled on 2 May 1945,Kriegsmarine,"1,621"
U-3003,Type XXI,u-boat,22 August 1944,Sunk on 4 April 1945,Kriegsmarine,"1,621"
U-3004,Type XXI,u-boat,30 August 1944,Scuttled on 2 May 1945,Kriegsmarine,"1,621"
U-3005,Type XXI,u-boat,20 September 1944,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-3006,Type XXI,u-boat,05 October 1944,Scuttled on 1 May 1945,Kriegsmarine,"1,621"
U-3007,Type XXI,u-boat,22 October 1944,Sunk on 24 February 1945,Kriegsmarine,"1,621"
U-3008,Type XXI,u-boat,19 October 1944,"Surrendered, May 1945",Kriegsmarine,"1,621"
U-3009,Type XXI,u-boat,10 November 1944,Scuttled on 1 May 1945,Kriegsmarine,"1,621"
U-3010,Type XXI,u-boat,11 November 1944,"Scuttled, 3 May 1945",Kriegsmarine,"1,621"
U-3011,Type XXI,u-boat,21 December 1944,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-3012,Type XXI,u-boat,04 December 1944,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-3013,Type XXI,u-boat,22 November 1944,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-3014,Type XXI,u-boat,17 December 1944,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-3015,Type XXI,u-boat,17 December 1944,Scuttled on 5 May 1945,Kriegsmarine,"1,621"
U-3016,Type XXI,u-boat,05 January 1945,Scuttled on 2 May 1945,Kriegsmarine,"1,621"
U-3017,Type XXI,u-boat,05 January 1945,Surrendered on 9 May 1945,Kriegsmarine,"1,621"
U-3018,Type XXI,u-boat,07 January 1945,Scuttled on 2 May 1945,Kriegsmarine,"1,621"
U-3019,Type XXI,u-boat,23 December 1944,Scuttled on 2 May 1945,Kriegsmarine,"1,621"
U-3020,Type XXI,u-boat,23 December 1944,Scuttled on 2 May 1945,Kriegsmarine,"1,621"
U-3021,Type XXI,u-boat,12 January 1945,Scuttled on 2 May 1945,Kriegsmarine,"1,621"
U-3022,Type XXI,u-boat,25 January 1945,Scuttled on 5 May 1945,Kriegsmarine,"1,621"
U-3023,Type XXI,u-boat,22 January 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-3024,Type XXI,u-boat,13 January 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-3025,Type XXI,u-boat,20 January 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-3026,Type XXI,u-boat,22 January 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-3027,Type XXI,u-boat,25 January 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-3028,Type XXI,u-boat,27 January 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-3029,Type XXI,u-boat,05 February 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-3030,Type XXI,u-boat,14 February 1945,Scuttled on 8 May 1945,Kriegsmarine,"1,621"
U-3031,Type XXI,u-boat,28 February 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-3032,Type XXI,u-boat,12 February 1945,Sunk on 3 May 1945,Kriegsmarine,"1,621"
U-3033,Type XXI,u-boat,27 February 1945,Scuttled on 4 May 1945,Kriegsmarine,"1,621"
U-3034,Type XXI,u-boat,31 March 1945,Scuttled on 4 May 1945,Kriegsmarine,"1,621"
U-3035,Type XXI,u-boat,01 March 1945,Surrendered on 9 May 1945,Kriegsmarine,"1,621"
U-3037,Type XXI,u-boat,03 March 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-3038,Type XXI,u-boat,04 March 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-3039,Type XXI,u-boat,08 March 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-3040,Type XXI,u-boat,08 March 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-3041,Type XXI,u-boat,10 March 1945,Surrendered on 9 May 1945,Kriegsmarine,"1,621"
U-3044,Type XXI,u-boat,27 March 1945,Scuttled on 5 May 1945,Kriegsmarine,"1,621"
U-3501,Type XXI,u-boat,29 July 1944,Scuttled on 5 May 1945 or 1 May 1945,Kriegsmarine,"1,621"
U-3502,Type XXI,u-boat,19 August 1944,Broken up,Kriegsmarine,"1,621"
U-3503,Type XXI,u-boat,09 September 1944,Scuttled on 8 May 1945,Kriegsmarine,"1,621"
U-3504,Type XXI,u-boat,23 September 1944,Scuttled on 2 May 1945,Kriegsmarine,"1,621"
U-3505,Type XXI,u-boat,07 October 1944,"Sunk, 3 April 1945",Kriegsmarine,"1,621"
U-3506,Type XXI,u-boat,16 October 1944,"Scuttled in the Elbe II U-boat bunker, Hamburg, May 1945. Currently buried.",Kriegsmarine,"1,621"
U-3507,Type XXI,u-boat,19 October 1944,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-3508,Type XXI,u-boat,02 November 1944,"Sunk, 4 March 1945, raised and sunk again 30 March 1945",Kriegsmarine,"1,621"
U-3509,Type XXI,u-boat,29 January 1945,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-3510,Type XXI,u-boat,11 November 1944,Scuttled on 5 May 1945,Kriegsmarine,"1,621"
U-3511,Type XXI,u-boat,18 November 1944,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-3512,Type XXI,u-boat,27 November 1944,Sunk on 8 April 1945,Kriegsmarine,"1,621"
U-3513,Type XXI,u-boat,02 December 1944,Scuttled on 3 May 1945,Kriegsmarine,"1,621"
U-3514,Type XXI,u-boat,09 December 1944,Surrendered on 9 May 1945,Kriegsmarine,"1,621"
U-3515,Type XXI,u-boat,14 December 1944,Surrendered on 9 May 1945,Kriegsmarine,"1,621"
U-3516,Type XXI,u-boat,18 December 1944,Scuttled on 2 May 1945,Kriegsmarine,"1,621"
U-3517,Type XXI,u-boat,22 December 1944,Scuttled on 2 May 1945,Kriegsmarine,"1,621"
